locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,7.6,2023-02-06T08:47:31+00:00,2023-02-06T03:47:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,1.5,2023-02-06T08:45:30+00:00,2023-02-06T03:45:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.7,2023-02-06T08:43:30+00:00,2023-02-06T03:43:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,5.4,2023-02-06T08:41:30+00:00,2023-02-06T03:41:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,20.3,2023-02-06T08:39:30+00:00,2023-02-06T03:39:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.6,2023-02-06T08:37:31+00:00,2023-02-06T03:37:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.3,2023-02-06T08:35:30+00:00,2023-02-06T03:35:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,4.8,2023-02-06T08:33:30+00:00,2023-02-06T03:33:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,4.6,2023-02-06T08:31:30+00:00,2023-02-06T03:31:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,8.3,2023-02-06T08:29:30+00:00,2023-02-06T03:29:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,8.5,2023-02-06T08:27:30+00:00,2023-02-06T03:27:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.4,2023-02-06T08:25:30+00:00,2023-02-06T03:25:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.8,2023-02-06T08:23:30+00:00,2023-02-06T03:23:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,14.4,2023-02-06T08:21:29+00:00,2023-02-06T03:21:29-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
